Operacia;Cas;;Pocet prvkov
Vloz na zaklade kluca;700;ns;25
Odstran na zaklade kluca;700;ns;26
Spristupni na zaklade kluca;400;ns;25
Vloz na zaklade kluca;700;ns;25
Vloz na zaklade kluca;700;ns;26
Odstran na zaklade kluca;700;ns;27
Vloz na zaklade kluca;600;ns;26
Vloz na zaklade kluca;700;ns;27
Vloz na zaklade kluca;700;ns;28
Vloz na zaklade kluca;600;ns;29
Vloz na zaklade kluca;700;ns;30
Odstran na zaklade kluca;600;ns;31
Odstran na zaklade kluca;600;ns;30
Vloz na zaklade kluca;600;ns;29
Vloz na zaklade kluca;700;ns;30
Odstran na zaklade kluca;700;ns;31
Vloz na zaklade kluca;800;ns;30
Vloz na zaklade kluca;800;ns;31
Odstran na zaklade kluca;700;ns;32
Spristupni na zaklade kluca;600;ns;31
Vloz na zaklade kluca;600;ns;31
Vloz na zaklade kluca;700;ns;32
Odstran na zaklade kluca;600;ns;33
Vloz na zaklade kluca;600;ns;32
Vloz na zaklade kluca;700;ns;33
Odstran na zaklade kluca;700;ns;34
Vloz na zaklade kluca;600;ns;33
Vloz na zaklade kluca;700;ns;34
Vloz na zaklade kluca;9200;ns;35
Vloz na zaklade kluca;700;ns;36
Odstran na zaklade kluca;600;ns;37
Vloz na zaklade kluca;700;ns;36
Odstran na zaklade kluca;700;ns;37
Odstran na zaklade kluca;800;ns;36
Odstran na zaklade kluca;6300;ns;35
Vloz na zaklade kluca;600;ns;34
Vloz na zaklade kluca;8000;ns;35
Odstran na zaklade kluca;900;ns;36
Vloz na zaklade kluca;7900;ns;35
Odstran na zaklade kluca;800;ns;36
Spristupni na zaklade kluca;4100;ns;35
Vloz na zaklade kluca;7700;ns;35
Vloz na zaklade kluca;900;ns;36
Vloz na zaklade kluca;700;ns;37
Odstran na zaklade kluca;700;ns;38
Odstran na zaklade kluca;900;ns;37
Odstran na zaklade kluca;700;ns;36
Spristupni na zaklade kluca;4100;ns;35
Odstran na zaklade kluca;4300;ns;35
Odstran na zaklade kluca;600;ns;34
Vloz na zaklade kluca;700;ns;33
Odstran na zaklade kluca;600;ns;34
Spristupni na zaklade kluca;400;ns;33
Odstran na zaklade kluca;900;ns;33
Odstran na zaklade kluca;700;ns;32
Spristupni na zaklade kluca;600;ns;31
Odstran na zaklade kluca;800;ns;31
Vloz na zaklade kluca;700;ns;30
Vloz na zaklade kluca;700;ns;31
Odstran na zaklade kluca;700;ns;32
Vloz na zaklade kluca;700;ns;31
Vloz na zaklade kluca;600;ns;32
Odstran na zaklade kluca;700;ns;33
Vloz na zaklade kluca;600;ns;32
Vloz na zaklade kluca;800;ns;33
Vloz na zaklade kluca;600;ns;34
Odstran na zaklade kluca;4300;ns;35
Odstran na zaklade kluca;1100;ns;34
Odstran na zaklade kluca;600;ns;33
Vloz na zaklade kluca;800;ns;32
Odstran na zaklade kluca;700;ns;33
Vloz na zaklade kluca;700;ns;32
Odstran na zaklade kluca;700;ns;33
Vloz na zaklade kluca;700;ns;32
Vloz na zaklade kluca;700;ns;33
Vloz na zaklade kluca;700;ns;34
Odstran na zaklade kluca;4400;ns;35
Odstran na zaklade kluca;700;ns;34
Odstran na zaklade kluca;600;ns;33
Vloz na zaklade kluca;700;ns;32
Odstran na zaklade kluca;700;ns;33
Odstran na zaklade kluca;800;ns;32
Odstran na zaklade kluca;700;ns;31
Odstran na zaklade kluca;600;ns;30
Odstran na zaklade kluca;700;ns;29
Odstran na zaklade kluca;700;ns;28
Odstran na zaklade kluca;700;ns;27
Vloz na zaklade kluca;700;ns;26
Odstran na zaklade kluca;600;ns;27
Odstran na zaklade kluca;1100;ns;26
Odstran na zaklade kluca;600;ns;25
Vloz na zaklade kluca;800;ns;24
Vloz na zaklade kluca;600;ns;25
Odstran na zaklade kluca;600;ns;26
Odstran na zaklade kluca;1000;ns;25
Odstran na zaklade kluca;600;ns;24
Vloz na zaklade kluca;600;ns;23
Spristupni na zaklade kluca;400;ns;24
Vloz na zaklade kluca;700;ns;24
Vloz na zaklade kluca;600;ns;25
Odstran na zaklade kluca;600;ns;26
Vloz na zaklade kluca;700;ns;25
Odstran na zaklade kluca;700;ns;26
Vloz na zaklade kluca;700;ns;25
Vloz na zaklade kluca;800;ns;26
Odstran na zaklade kluca;1100;ns;27
Odstran na zaklade kluca;600;ns;26
Odstran na zaklade kluca;700;ns;25
Spristupni na zaklade kluca;400;ns;24
Odstran na zaklade kluca;600;ns;24
Vloz na zaklade kluca;700;ns;23
Odstran na zaklade kluca;700;ns;24
Odstran na zaklade kluca;1000;ns;23
Odstran na zaklade kluca;1100;ns;22
Odstran na zaklade kluca;700;ns;21
Odstran na zaklade kluca;1100;ns;20
Vloz na zaklade kluca;800;ns;19
Vloz na zaklade kluca;600;ns;20
