Operacia;Cas;;Pocet prvkov
Vloz na zaklade kluca;1212500;ns;143
Spristupni na zaklade kluca;1243300;ns;144
Spristupni na zaklade kluca;1568700;ns;144
Spristupni na zaklade kluca;1222900;ns;144
Spristupni na zaklade kluca;1483500;ns;144
Vloz na zaklade kluca;1805900;ns;144
Odstran na zaklade kluca;1140800;ns;145
Vloz na zaklade kluca;1199600;ns;144
Vloz na zaklade kluca;1128400;ns;145
Vloz na zaklade kluca;1525200;ns;146
Spristupni na zaklade kluca;1730700;ns;147
Vloz na zaklade kluca;1190700;ns;147
Odstran na zaklade kluca;1203600;ns;148
Vloz na zaklade kluca;1994200;ns;147
Vloz na zaklade kluca;1777100;ns;148
Spristupni na zaklade kluca;1713700;ns;149
Vloz na zaklade kluca;1387500;ns;149
Spristupni na zaklade kluca;1599300;ns;150
Spristupni na zaklade kluca;1380600;ns;150
Spristupni na zaklade kluca;1796900;ns;150
Spristupni na zaklade kluca;1733600;ns;150
Vloz na zaklade kluca;1270000;ns;150
Spristupni na zaklade kluca;1199500;ns;151
Spristupni na zaklade kluca;1765800;ns;151
Spristupni na zaklade kluca;1257400;ns;151
Spristupni na zaklade kluca;1537600;ns;151
Odstran na zaklade kluca;1230900;ns;151
Spristupni na zaklade kluca;1225700;ns;150
Spristupni na zaklade kluca;1377100;ns;150
Spristupni na zaklade kluca;1194200;ns;150
Vloz na zaklade kluca;1148700;ns;150
Spristupni na zaklade kluca;1146300;ns;151
Vloz na zaklade kluca;1236000;ns;151
Spristupni na zaklade kluca;1154200;ns;152
Spristupni na zaklade kluca;1603900;ns;152
Odstran na zaklade kluca;1993200;ns;152
Spristupni na zaklade kluca;2171000;ns;151
Spristupni na zaklade kluca;1716200;ns;151
Spristupni na zaklade kluca;1144900;ns;151
Spristupni na zaklade kluca;1178900;ns;151
Vloz na zaklade kluca;1153700;ns;151
Spristupni na zaklade kluca;1184500;ns;152
Vloz na zaklade kluca;1159000;ns;152
Spristupni na zaklade kluca;1171300;ns;153
Spristupni na zaklade kluca;1164500;ns;153
Spristupni na zaklade kluca;1249600;ns;153
Vloz na zaklade kluca;2357400;ns;153
