Operacia;Cas;;Pocet prvkov
Odstran na zaklade kluca;6200;ns;81
Vloz na zaklade kluca;1400;ns;80
Vloz na zaklade kluca;1500;ns;81
Vloz na zaklade kluca;1700;ns;82
Vloz na zaklade kluca;1500;ns;83
Odstran na zaklade kluca;6400;ns;84
Vloz na zaklade kluca;1500;ns;83
Odstran na zaklade kluca;6300;ns;84
Spristupni na zaklade kluca;1300;ns;83
Odstran na zaklade kluca;6300;ns;83
Vloz na zaklade kluca;1600;ns;82
Spristupni na zaklade kluca;1200;ns;83
Odstran na zaklade kluca;6300;ns;83
Odstran na zaklade kluca;6300;ns;82
Vloz na zaklade kluca;1500;ns;81
Odstran na zaklade kluca;6200;ns;82
Odstran na zaklade kluca;6100;ns;81
Odstran na zaklade kluca;6100;ns;80
Odstran na zaklade kluca;6100;ns;79
Odstran na zaklade kluca;6000;ns;78
Vloz na zaklade kluca;1500;ns;77
Odstran na zaklade kluca;6000;ns;78
Vloz na zaklade kluca;1500;ns;77
Spristupni na zaklade kluca;1200;ns;78
Vloz na zaklade kluca;1500;ns;78
Vloz na zaklade kluca;1600;ns;79
Odstran na zaklade kluca;6100;ns;80
Vloz na zaklade kluca;1500;ns;79
Odstran na zaklade kluca;6100;ns;80
Spristupni na zaklade kluca;1300;ns;79
Spristupni na zaklade kluca;1200;ns;79
Odstran na zaklade kluca;6100;ns;79
Odstran na zaklade kluca;7400;ns;78
Odstran na zaklade kluca;6100;ns;77
Vloz na zaklade kluca;1600;ns;76
Vloz na zaklade kluca;1500;ns;77
Spristupni na zaklade kluca;1300;ns;78
Spristupni na zaklade kluca;1200;ns;78
Vloz na zaklade kluca;1500;ns;78
Vloz na zaklade kluca;1500;ns;79
Vloz na zaklade kluca;1500;ns;80
Vloz na zaklade kluca;3200;ns;81
Spristupni na zaklade kluca;1200;ns;82
Odstran na zaklade kluca;6200;ns;82
Vloz na zaklade kluca;1500;ns;81
Odstran na zaklade kluca;6200;ns;82
Odstran na zaklade kluca;6200;ns;81
Vloz na zaklade kluca;1500;ns;80
Vloz na zaklade kluca;1500;ns;81
Odstran na zaklade kluca;6200;ns;82
Vloz na zaklade kluca;1600;ns;81
Odstran na zaklade kluca;6300;ns;82
Odstran na zaklade kluca;6100;ns;81
Spristupni na zaklade kluca;1200;ns;80
Vloz na zaklade kluca;1500;ns;80
Vloz na zaklade kluca;1500;ns;81
Odstran na zaklade kluca;6200;ns;82
Odstran na zaklade kluca;6100;ns;81
Vloz na zaklade kluca;1500;ns;80
Vloz na zaklade kluca;1500;ns;81
Vloz na zaklade kluca;1600;ns;82
Odstran na zaklade kluca;6300;ns;83
Vloz na zaklade kluca;1500;ns;82
Odstran na zaklade kluca;6300;ns;83
Vloz na zaklade kluca;1500;ns;82
Vloz na zaklade kluca;1500;ns;83
Vloz na zaklade kluca;17700;ns;84
Vloz na zaklade kluca;1600;ns;85
Odstran na zaklade kluca;6500;ns;86
Odstran na zaklade kluca;9400;ns;85
Odstran na zaklade kluca;11700;ns;84
Vloz na zaklade kluca;3000;ns;83
Vloz na zaklade kluca;6900;ns;84
Vloz na zaklade kluca;2400;ns;85
Vloz na zaklade kluca;2300;ns;86
Vloz na zaklade kluca;2300;ns;87
Vloz na zaklade kluca;2300;ns;88
Odstran na zaklade kluca;9900;ns;89
Spristupni na zaklade kluca;1700;ns;88
Spristupni na zaklade kluca;1700;ns;88
Odstran na zaklade kluca;8600;ns;88
Vloz na zaklade kluca;2100;ns;87
Vloz na zaklade kluca;2200;ns;88
Vloz na zaklade kluca;2000;ns;89
Odstran na zaklade kluca;8700;ns;90
Vloz na zaklade kluca;2000;ns;89
Vloz na zaklade kluca;2000;ns;90
Vloz na zaklade kluca;2000;ns;91
Vloz na zaklade kluca;2100;ns;92
Vloz na zaklade kluca;2000;ns;93
Vloz na zaklade kluca;2000;ns;94
Odstran na zaklade kluca;9600;ns;95
Vloz na zaklade kluca;2000;ns;94
Vloz na zaklade kluca;2100;ns;95
Vloz na zaklade kluca;2000;ns;96
Vloz na zaklade kluca;2000;ns;97
Odstran na zaklade kluca;9600;ns;98
Vloz na zaklade kluca;2100;ns;97
Odstran na zaklade kluca;9500;ns;98
Odstran na zaklade kluca;9500;ns;97
Vloz na zaklade kluca;2100;ns;96
Vloz na zaklade kluca;2100;ns;97
Odstran na zaklade kluca;9900;ns;98
Odstran na zaklade kluca;9700;ns;97
